GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
150823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150621,,,,,,,,,,,,,,,,,,,1024,766,,711,716,657,1820,1949,1781,1751,,1735,,,,,,,,,57617
150122,,,,,,,,,,,,522,522,978,904,762,852,890,867,896,899,831,389,423,712,843,859,1061,1014,1028,1036,,,,,,,,962
150302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239
150826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150602,,,,,,,,,,,,,,,,,,,123,110,,8,17,820,895,729,423,260,,6,,,,,,,,,130
150121,,,,,,,,,,,,1111,1070,1345,1133,1165,1178,1378,1380,1701,1870,1877,1939,2085,3316,3699,4593,7578,19289,29009,30673,,,,,,,,49738
150623,,,,,,,,,,,,,,,,,,,649,1041,,962,1748,1616,1125,1810,949,1121,,1262,,,,,,,,,208000
150626,,,,,,,,,,,,,,,,,,,2235,3763,,2557,1288,2783,3148,3178,3135,3099,,3108,,,,,,,,,66421
410325,,,,,,,,,,,,,,617,682,5808,6464,4525,6339,7031,8078,8079,35817,34390,37829,49124,915,59700,64735,73014,74523,80161,80343,80333,85470,84640,,,
411221,,,,,,,,,,,6868,6076,7555,13442,27849,45237,63909,75736,85888,97015,100298,105879,106926,104025,105589,125228,127515,137070,151146,165798,181378,192939,210184,190094,187637,181146,,,42497
410328,,,,,,,,,,,,3874,6196,9044,255,21806,26848,69732,82483,83585,39254,36273,119321,121160,174535,186265,213317,233149,233149,255526,267326,286739,287191,286991,312591,369595,,,
410102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,
411281,,,,,,,,,,,682,177,459,713,994,1200,1575,1053,1332,1340,1293,1260,840,850,648,615,575,570,587,630,787,781,638,694,582,735,,,212
410883,,,,,,,,,,,,,,420,462,50162,87674,89031,93527,101582,103602,105159,103651,105680,134848,144044,775,169856,168492,170274,179978,175600,173157,174332,65475,66577,,,
411222,,,,,,,,,,,13246,17841,18156,33119,47858,53615,55344,86832,109573,140818,153107,160720,187357,216678,252726,277981,298830,338295,371094,409804,438808,462020,471880,464219,452564,,,,19657
410181,,,,,,,,,,,,,,467,515,13902,22248,24646,27298,25966,24214,22570,20862,21117,20695,23064,17330,22499,24141,22000,24416,25392,26591,27816,30470,31102,,,27453
410322,,,,,1972,,,,,,,1748,1905,6912,2495,3797,4257,10238,5986,6025,11837,18460,23717,25600,27462,31271,36190,42510,42397,42130,44502,49487,53433,39351,52786,55513,,,68899
410311,,,,,,,,,,,,,,,,,,,,,7961,8724,11432,13906,13159,13720,10027,10805,8728,8471,,,,,,,,,10459
410882,,,,,,,,,,,,,,152,146,2293,1501,1849,775,1832,1942,1464,2813,11422,14041,22773,470,27789,30613,32637,32686,35740,37514,36950,36233,38438,,,
410327,,,,,,,,,,,,4347,5066,6627,207,10079,13565,10572,15891,20714,21965,30858,42745,47102,60078,67860,72137,87881,87881,105345,113098,116221,120651,103426,132505,131994,,,
410329,,,,,,,,,,,,1453,1617,1710,135,1357,1447,4798,5019,5237,6250,7888,6422,6541,7864,9134,9866,11649,11649,12435,13186,13566,13493,13044,12872,12313,,,
411282,,,,,,,,,,,110562,152433,168419,293975,354072,435332,465742,448645,540028,560653,560531,522269,500202,553699,657417,653564,716955,805140,884258,964600,1038738,1083950,1208544,1301736,1391145,1506417,,,9345
411202,,,,,,,,,,,3130,3760,4602,6156,7341,8094,10226,10723,11857,15395,15441,16100,,17888,20331,21294,23399,26718,29624,32814,38584,37985,40644,38492,,,,,2434
410381,,,,,3193,,,,,,,3395,5641,8465,258,13769,15590,17652,22264,22448,23301,23176,47511,55793,56350,58287,42923,44000,44000,53358,53364,60877,85468,90199,100054,90569,,,
410825,,,,,,,,,,,,,,50,80,5961,5814,8671,15449,15685,11468,15895,16111,12811,14879,16700,170,19079,19364,19711,19837,21612,21255,21362,21241,21057,,,
410182,,,,,,,,,,,,,,601,636,19584,19679,23973,29231,26516,26657,27754,31045,28665,30519,28727,30053,33080,33002,34488,35894,40673,41515,41825,42387,42982,,,54626
410823,,,,,,,,,,,,,,495,590,32577,16720,16188,16326,14648,13402,12174,14135,13680,17618,21098,2100,24605,26275,28119,28518,28718,28789,30702,31384,14296,,,
410821,,,,,,,,,,,,,,130,315,5527,6000,8595,6869,5957,8456,10043,9964,9905,10600,10927,850,10369,8835,8042,9218,9494,9695,5919,6894,7333,,,
410822,,,,,,,,,,,,,,50,48,3183,2901,2059,2749,4664,10307,13040,15077,19913,33039,38504,200,41643,42908,43446,39442,39461,40474,39831,28439,20507,,,
410323,,,,,764,,,,,,,3773,5933,8983,83,9549,10240,4175,6596,8920,13015,12338,21561,29694,30904,37583,48014,55808,55808,57938,60429,66017,65924,65960,69453,71443,,,
610431,,,,,,,407,818,747,1125,1740,,,10765,12922,,,13700,,30296,35959,39097,40726,44518,51289,50539,51645,59401,67780,74982,75073,86684,88555,89248,90394,93702,94487,,76598
610826,2455,3795,3671,3456,5093,3914,6404,9455,9195,10577,12376,,,10211,7930,,9063,7662,9398,6578,12041,26889,27904,6312,32000,18893,132103,71710,113959,116553,114982,132511,134354,126946,127958,130839,137081,,
610116,4610,4267,5104,6059,5611,11501,15871,15859,13253,11720,11216,,7202,8487,8077,8129,8633,8869,21567,25778,16200,14622,18988,24575,27311,34090,38958,48033,53253,59161,65277,73682,74497,74847,79109,79257,76558,,43021
610521,2648,,,,,4078,3925,3028,2892,3167,3141,3928,5177,5721,6483,11796,8118,24084,24197,13731,13806,14659,14369,8977,11304,13755,14557,13459,18114,19486,22472,23731,24679,24844,25930,28803,30329,,26544
610622,610,6303,2516,1473,5328,5545,2636,4696,3814,4569,4153,,,4006,5018,6046,5877,3746,5211,6798,4877,5435,7937,7506,16025,17875,22819,22458,58302,83137,95385,108448,109049,114305,116313,140660,167157,,
610202,,,,,,,,,,,,,,,,,,,,,,18100,20154,20824,20278,21128,25005,25100,27100,28208,32792,37004,40300,39129,40215,40214,40318,,
610324,2695,,,,,2967,,,,,8147,,,,,39219,50989,37334,54224,61148,74634,64047,45961,64145,78256,84113,91576,93544,118633,176919,180954,278642,282693,289661,296186,336006,342840,,
610122,2765,2000,3060,2458,3112,4168,4004,4086,4587,4750,4207,,5564,7425,7591,6112,44906,52340,76578,79146,62850,61870,85482,87500,99698,104087,105123,120012,126595,135456,118046,118403,118651,117942,130439,71526,127695,,65075
610623,270,259,458,285,337,866,574,875,2508,3505,4533,,,6256,2098,7911,6808,7933,9129,14560,9200,15000,13000,13600,14800,16000,12800,15300,16100,21000,21300,22000,23208,23380,24441,26702,35500,,
610428,4800,5595,4070,6260,2785,4890,4075,4524,5702,4767,5873,,,24517,23787,,,42400,,56997,64886,55752,52230,83788,93187,124422,154500,154500,184500,237255,258110,277645,284045,282795,293620,307882,323399,,253354
