GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
640202,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,,,2408
640381,11476,11476,11476,11476,11476,11476,11476,11476,11476,11476,11476,11476,14668,14406,14871,18019,18611,19756,28077,24195,20313,21460,19933,19822,19599,21586,22561,23612,24775,25523,26272,27082,28050,28599,27748,26449,,,
640402,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4575,5480,5493,5859,6818,7875,11606,10007,8408,9059,9333,8718,9576,11823,11827,11957,7187,7849,8111,7109,8178,8808,9084,9733,,,
640122,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,11157,12002,13225,13865,13304,27589,41873,56158,60462,64766,61764,57449,61098,62084,66920,64876,65731,69633,73700,73843,73852,73306,61550,60811,,,59150
640205,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,4704,5341,5969,5852,6505,5740,8903,8798,8693,8982,6030,5206,8054,7844,7844,7844,7844,7844,7844,7844,7844,7844,7844,7844,,,36834
640424,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,6249,1163,1129,2231,2115,1413,2844,3286,3727,4880,8622,8750,5687,5758,5782,5810,4863,4941,6015,7323,7431,7943,8105,8972,,,
640221,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,13520,15832,17857,20807,22613,24498,24764,38652,32077,25501,26757,26826,27440,31931,30533,31826,33028,31678,31958,32873,32748,40698,42840,43721,44631,,,154713
640323,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1951,1314,1313,1451,1698,1959,3018,2635,2251,2427,2375,3303,2928,2578,2802,3598,3618,3604,3590,3711,3745,3818,3856,3858,,,
640425,3932,3932,3932,3932,3932,3932,3932,3932,3932,3932,3932,3932,3598,3925,5587,5866,6640,7411,10656,10128,9599,10392,12062,11640,10453,10988,11206,12198,12448,12948,13222,12975,13184,13325,13897,13922,,,
150102,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,6369,9059,9402,10202,11607,10807,11127,11618,11628,11568,13280,13567,12584,13321,13639,13639,,,98
150124,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2644,2788,2931,3075,3219,3875,5053,5779,6620,7425,6310,6472,7865,8776,10276,10353,10925,11013,11130,11257,11256,11181,11243,10821,10902,,,13748
150202,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,10932,17125,18180,19916,20509,14829,14880,12994,11023,11025,12295,11773,11384,11462,,,
150627,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,3000,3172,3249,3403,4123,3631,3305,3552,3468,2950,3117,3312,3807,2823,3220,3748,4027,6912,3655,4498,4200,5663,3042,3404,3428,,,3300
150802,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,28000,27965,29947,32989,36641,37661,62338,59971,61902,59971,56963,55669,55731,57456,57544,51428,52262,51835,66193,68208,64132,54617,50600,49130,52321,,,
150927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7464,7517,7634,9947,,,,
150125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14311,15481,15836,16256,,,,20925
150123,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3638,3777,3915,4054,4192,4351,4446,4712,4845,5664,5334,6846,6975,7497,7805,6294,8139,8505,9144,9253,8594,9229,9284,9124,9788,,,9790
150622,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2900,5373,6463,6503,6568,7058,6886,8475,7532,3833,4931,6112,5225,5952,6721,6903,8128,9097,9603,9468,9300,9511,9785,9790,9541,,,9184
150624,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,900,1520,2181,1383,1941,2155,1618,1976,3174,3078,2633,2914,3768,2654,2384,2618,2873,2432,3762,4402,4410,4327,4458,4359,4355,,,3025
150822,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,10200,13140,15208,6014,6502,6662,6642,7270,7924,7472,7572,7797,7764,8627,9466,10026,10112,12203,12879,19849,21209,21315,33036,32222,41307,,,
150222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14408,15182,16144,16890,,,,
150821,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,22300,25906,28096,30074,38363,35034,38634,39287,39309,35996,33321,33230,39306,47115,57446,59370,57781,56592,55848,62094,58871,60634,60216,61294,62471,,,
150825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4167,5671,5998,6144,,,,
150625,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,3600,3862,7546,6396,6732,5560,5792,6346,6829,10186,10219,8776,21112,14864,15716,19666,20024,20546,20158,20638,20098,20436,21918,23302,23141,,,23188
150823,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,14900,19900,21808,22135,20770,23881,24712,25607,27427,27705,24682,24751,23311,23567,27095,27767,27967,30805,31270,31857,33451,32420,32843,32934,34189,34533,,,
150824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488,7812,9435,10550,48256,,,
150621,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,17100,17478,18523,21104,19626,18889,17989,15700,16565,19017,19311,18285,26281,23537,28073,29578,31917,32137,35351,39664,39664,45759,39788,47234,62420,,,61130
150122,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,5786,6517,6079,6207,6833,21054,8948,9026,10744,24201,22117,22220,25348,25998,30744,30863,32227,32397,33259,33920,35204,35799,35971,36493,37029,,,38887
150302,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5565,6044,5540,5868,5958,6461,6813,6693,7388,4190,3987,3299,3328,3296,3618,3618,,,
150826,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,27000,27177,22235,22831,27068,25912,28580,36840,37443,36220,34439,37375,37486,49987,48809,50327,56359,56568,56214,52231,56088,57902,55728,49403,48256,,,
150221,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14900,17725,23737,21655,22545,22550,22629,24212,24850,26041,26403,24281,25018,25330,26418,28824,29308,31449,31806,32154,32342,32663,38295,39416,39416,,,
150602,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2000,1415,1775,1826,2126,2156,2749,2776,4499,2162,850,1425,2577,2408,1829,1798,1482,1461,1188,1273,1211,1220,716,712,673,,,645
150121,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,10579,9165,9919,9943,10354,10349,9826,9978,11331,10538,9436,9955,11373,12301,12763,13279,13540,15333,16132,24918,28299,30090,29786,32807,33586,,,32314
150623,700,700,700,700,700,700,700,700,700,700,700,600,514,810,1334,1416,1244,2330,1426,2064,2110,2123,2676,3869,2536,4598,3873,3570,3176,7214,12045,13991,18936,19056,19154,19519,,,18003
150626,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1500,1437,1693,1518,1613,2312,2677,3093,3958,3519,3727,3877,4263,4405,4694,4709,4744,4729,4736,6647,6685,6653,6842,6854,6870,,,6892
410325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24964,25204,25110,24889,,,,
411221,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10479,11795,14040,13463,12969,14862,13353,15411,16097,16354,15945,15393,14749,16534,16757,17594,18399,18828,18991,19187,19300,19569,20346,20426,20778,,,18317
410328,,,,,,,,,,,,11625,9845,11828,,,11761,12001,11237,13358,13445,18742,20093,2,21665,23221,23133,24097,23797,24137,24865,25114,26195,26139,25092,25237,,,
410102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411281,411,411,411,411,411,411,411,411,411,411,411,635,831,896,562,544,693,666,678,736,755,754,734,725,979,844,870,885,940,944,1003,1039,1173,1016,1017,1073,,,998
410883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35105,28700,29702,30243,,,,
411222,10824,10824,10824,10824,10824,10824,10824,10824,10824,10824,10824,12844,14439,16526,17869,16696,18978,15694,16485,16518,16019,15903,14599,15193,15857,16681,17753,19019,17142,18012,19533,18939,19486,19079,18951,0,,,15830
410181,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,16330,28544,32960,38454,36790,42349,34923,36373,25635,32141,32745,32819,34281,36146,36660,36860,28460,,,26559
410322,6285,6285,6285,6285,6285,6598,6911,7223,7536,7849,8161,8474,9905,15201,14478,13755,13032,12269,14274,14061,16018,17773,16840,17812,17242,17602,17901,17761,18148,18617,19142,20926,19573,19596,21169,18470,,,
410311,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,12143,13538,12702,12150,11758,11835,11228,10867,11442,17097,17180,17180,17180,17180,17180,,,24743
410882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30933,31784,31782,31777,,,,
410327,12980,12980,12980,12980,12980,12980,12980,12980,12980,12980,12980,12980,20400,22789,24525,26261,27997,26270,27827,27353,26032,31028,27979,29484,30710,32879,35356,36889,37724,39023,39747,40844,41620,41127,42919,46049,,,
410329,12766,12766,12766,12766,12766,12766,12766,12766,12766,12766,12766,12766,13381,15268,15636,16004,16372,14795,16608,17401,19573,18742,20093,20594,21665,23221,23133,24097,23797,24137,24865,25114,26195,26139,25092,25237,,,
