,CO2_M,Temp_M,VPD_M,Prcp_M,WaterS_M,WaterG_M,RuralE_M,AgriM_M,Fert_M,CropG_M,FruitG_M,IncomeR_M,CO2_S,Temp_S,VPD_S,Prcp_S,WaterS_S,WaterG_S,RuralE_S,AgriM_S,Fert_S,CropG_S,FruitG_S,IncomeR_S,CO2_S_per,Temp_S_per,VPD_S_per,Prcp_S_per,WaterS_S_per,WaterG_S_per,RuralE_S_per,AgriM_S_per,Fert_S_per,CropG_S_per,FruitG_S_per,IncomeR_S_per
419001,371.52585365853656,286.60958122499994,89.64676498650002,1.9132888745500005,34460312.89705556,-3.5191775277999997,13624.054082051283,61.38,18288.027777777777,221108.92307692306,24114.16129032258,3136.1782857142853,1.8178449477351915,0.040104894765478,0.6324960977598499,-0.0174573798587242,759841.8615564994,-0.749698072267857,554.2016196761134,3.0810303643724692,502.6039897039897,-376.8524291497976,1622.2544354838706,306.0638431372549,1.8481067949876058,0.42819505110653744,1.8542864699123816,2.105942642548558,1.7388263422103472,0.7001070721283931,1.9137953943895571,1.9182987410106822,1.7509748069618911,2.765095291949601,1.511438111121195,1.7230485215706552
513233,371.52585365853656,272.09054373250007,36.48790308699999,7.725843107400001,2646532.1973016663,-0.6477105897333334,215.6153846153846,0.9699071794871795,182.8,,,,1.8178449477351915,0.022105787420262642,0.18570348633208258,0.009397041587804878,62570.12902866667,-0.13550767532857144,6.302429149797572,-0.0036038522267206473,7.9107142857142865,,,,1.8481067949876058,0.27329936641053376,1.8072416869447887,1.4010347042113889,1.7414693643113461,0.7000770500601347,1.9045600185476528,2.246036346925651,0.6944072782660823,,,
513231,371.52585365853656,270.97351141499996,38.3757147465,4.2555205085250005,1878572.808725278,-0.6242819848666666,188.3846153846154,1.9381154358974362,39.2,9314.315789473685,,,1.8178449477351915,0.030410620806754596,0.19315869884615383,0.004163510130863038,16484.066508274136,-0.10630038167499999,-4.271255060728745,0.00800573117408907,1.6178571428571429,-56.93333333333333,,,1.8481067949876058,0.3587199997245948,1.8054096722914639,1.3071460663177739,1.681509634333305,0.6996946496235976,1.9823727553053059,1.7248493168978234,0.6940211533095163,0.9850062320864221,,
632123,371.52585365853656,276.7586201174999,45.2057334815,1.9363275910500004,1177270.8138380556,-1.2601515566666666,1037.6715384615384,14.189646153846152,4096.0,86929.46153846153,1263.56,1706.7220000000002,1.8178449477351915,0.03616398918386479,0.008221837446529079,-0.0009851313219512217,14036.017662706563,-0.2372525356214285,26.99168016194332,0.5411922672064778,115.62522522522524,1872.6099190283403,-51.85615384615384,164.51324649859941,1.8481067949876058,0.40564243918178505,0.5228055898739858,-962.3066318397377,1.7061726989826411,0.6998910145216396,1.9005282276292652,1.9122198179693117,1.7518176896600643,1.8929755901927836,1.2284802479472225,1.7229371396743942
632321,371.52585365853656,272.49042944250004,34.082088959749996,3.9123441421499985,470866.2222916668,-0.9908700728,278.54358974358973,2.855551282051282,606.8333333333334,16214.692307692309,250.57142857142858,2318.549,1.8178449477351915,0.0426517193714822,0.029081521535647255,0.002949224087992495,22980.483246241954,-0.11348170862499998,11.358805668016194,0.15005248987854253,4.933848133848135,-7.396356275303653,15.7010989010989,261.8208270676692,1.8481067949876058,0.46705285862888746,1.2446345110752486,1.1861071206007059,1.760572385781131,0.6986963932467749,1.913854141000228,1.9191625024930867,1.678259506204502,-16.432141689711475,0.6466185578523571,0.9526887354883401
632523,371.52585365853656,275.70491964249993,44.05568818,2.956750737300001,12919444.444444444,-0.7729936710666667,1078.6566666666658,5.453279487179486,1690.7222222222222,34434.94871794872,2700.714285714286,2700.593,1.8178449477351915,0.02613403374296417,-0.024996322765478415,0.0037457456082551598,193243.24324324323,-0.06942564745357144,33.96664574898786,0.2673389068825911,6.858172458172459,-230.5882591093118,-2.4131868131868117,327.3396240601504,1.8481067949876058,0.31172193395254155,19.596687143062546,1.417737216591969,1.7204462886178966,0.6978596217575761,1.9069064822455497,1.9178374457259737,1.5844082341123094,2.0975182852869203,1.4851176108271926,0.9529779964097498
632324,371.52585365853656,271.81471376,33.22229485275,7.358287876899999,7761694.106416668,-0.6206593148666666,15.285714285714286,0.8755589743589743,13.777777777777779,1889.4871794871794,9.0,1881.1354999999999,1.8178449477351915,0.04139295870544081,0.07199527627673544,0.004190009251594744,83989.3607823681,-0.01754089730714285,3.7857142857142856,0.03272429149797572,1.0666666666666667,-38.33785425101214,,162.30139097744362,1.8481067949876058,0.4573069030284851,1.609607433841567,1.0490495921930083,1.6991010286403925,0.6895248910726447,0.30029462869229673,1.9117038061474005,0.3980264521746327,1.9877441526510247,,0.9513840810114105
630104,371.52585365853656,278.31682446249994,58.78278596450002,0.3649482884750001,366987.76046472223,-0.8286716270666666,3580.3148717948716,7.537320512820511,1385.888888888889,8923.897435897436,368.57142857142856,27631.16,1.8178449477351915,0.04058248636960621,0.0286902801575985,-0.00020863485262664157,19477.57924466796,-0.10470444768928572,-63.11910526315788,0.08327226720647775,11.2944658944659,-284.37085020242915,28.54945054945055,3088.1004285714284,1.8481067949876058,0.4421993036827475,0.9724777358091939,18.371974653350275,1.7620333230497576,0.698981448418153,1.9955081702128936,1.8522903948229656,1.6784919393145026,1.969300875624851,0.6482465156317891,0.6993189949417614
632623,371.52585365853656,268.1186691275,25.837114414000002,7.776971570525001,6595073.326950001,-0.21476694720000003,,0.2261602564102565,,,16.0,1535.8975,1.8178449477351915,0.027536336744840715,0.06599426592870543,0.0031836400969043194,138290.11617655086,0.06382310552857141,,0.011381730769230769,,,,140.0637969924812,1.8481067949876058,0.3333788078304689,1.657454728457196,0.8854998076466866,1.7368088259034802,0.7029400588955832,,1.9183485601936934,,,,0.9516817646977871
632122,371.52585365853656,278.64639784499997,54.51195606125,1.576333489225,3763447.7079166663,-1.2337884211333334,2039.172564102565,21.17821282051282,5068.944444444444,129947.11794871793,6137.6,1574.883142857143,1.8178449477351915,0.03996503333958692,0.055409024496247634,-0.0007988154792682939,63881.78106319176,-0.2200247913607143,33.64342307692309,1.198464979757085,173.63526383526383,5255.605344129554,-255.14000000000001,151.99851820728293,1.8481067949876058,0.43654656547743265,1.3241390251816916,-329.4284166157794,1.7271901293316225,0.699787440513402,1.879688714959925,1.9204808574039067,1.7572988893860992,1.9136583219407097,1.2282848278612752,1.7229486645693095
